"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"I want to manage my time better.","Value",5.14285714285714,NA,NA,3,NA,NA,NA,NA
"I want to move out of my apartment and into a home.","Attainability",2.75,NA,1.5,NA,NA,NA,NA,NA
"I want to move out of my apartment and into a home.","Consensus",3.25,NA,4.25,NA,NA,NA,NA,NA
"I want to move out of my apartment and into a home.","External",4.2,NA,5.5,NA,NA,NA,NA,NA
"I want to move out of my apartment and into a home.","Instrumentality",3,NA,4,NA,NA,NA,NA,NA
"I want to move out of my apartment and into a home.","Measurability",3,NA,7,NA,NA,NA,NA,NA
"I want to move out of my apartment and into a home.","Value",3.57142857142857,NA,4.5,NA,NA,NA,NA,NA
"I want to paint my dining room by May 1st.","Attainability",NA,NA,NA,NA,5.75,3.25,NA,NA
"I want to paint my dining room by May 1st.","Consensus",NA,NA,NA,NA,0.5,1.5,NA,NA
"I want to paint my dining room by May 1st.","External",NA,NA,NA,NA,3.8,3.4,NA,NA
"I want to paint my dining room by May 1st.","Instrumentality",NA,NA,NA,NA,4,4.5,NA,NA
"I want to paint my dining room by May 1st.","Measurability",NA,NA,NA,NA,3,4,NA,NA
"I want to paint my dining room by May 1st.","Value",NA,NA,NA,NA,3.14285714285714,2.57142857142857,NA,NA
"I want to pass the semester with good grades.","Attainability",NA,3,NA,NA,NA,1.5,NA,NA
"I want to pass the semester with good grades.","Consensus",NA,2,NA,NA,NA,3.5,NA,NA
"I want to pass the semester with good grades.","External",NA,5.8,NA,NA,NA,6,NA,NA
"I want to pass the semester with good grades.","Instrumentality",NA,6,NA,NA,NA,4.5,NA,NA
"I want to pass the semester with good grades.","Measurability",NA,4.5,NA,NA,NA,4,NA,NA
"I want to pass the semester with good grades.","Value",NA,4.83333333333333,NA,NA,NA,5.42857142857143,NA,NA
"I want to pay off all credit card debt before the Christmas season begins.","Attainability",NA,NA,2.5,2.25,NA,NA,NA,NA
"I want to pay off all credit card debt before the Christmas season begins.","Consensus",NA,NA,5,3,NA,NA,NA,NA
"I want to pay off all credit card debt before the Christmas season begins.","External",NA,NA,4,4,NA,NA,NA,NA
"I want to pay off all credit card debt before the Christmas season begins.","Instrumentality",NA,NA,4.5,4.5,NA,NA,NA,NA
"I want to pay off all credit card debt before the Christmas season begins.","Measurability",NA,NA,6.5,5.5,NA,NA,NA,NA
"I want to pay off all credit card debt before the Christmas season begins.","Value",NA,NA,4.28571428571429,3.71428571428571,NA,NA,NA,NA
"I want to purchase a new vehicle for my family within the next couple of months.","Attainability",NA,5.25,NA,NA,NA,NA,0.75,NA
"I want to purchase a new vehicle for my family within the next couple of months.","Consensus",NA,1.75,NA,NA,NA,NA,1.25,NA
"I want to purchase a new vehicle for my family within the next couple of months.","External",NA,5,NA,NA,NA,NA,3.25,NA
"I want to purchase a new vehicle for my family within the next couple of months.","Instrumentality",NA,5.5,NA,NA,NA,NA,4,NA
"I want to purchase a new vehicle for my family within the next couple of months.","Measurability",NA,3,NA,NA,NA,NA,4.5,NA
"I want to purchase a new vehicle for my family within the next couple of months.","Value",NA,4.42857142857143,NA,NA,NA,NA,4.42857142857143,NA
"I want to regularly save at least 400 dollars every month for 2021.. I","Attainability",NA,NA,2,NA,NA,2,NA,NA
"I want to regularly save at least 400 dollars every month for 2021.. I","Consensus",NA,NA,3,NA,NA,3,NA,NA
"I want to regularly save at least 400 dollars every month for 2021.. I","External",NA,NA,4.5,NA,NA,4.6,NA,NA
"I want to regularly save at least 400 dollars every month for 2021.. I","Instrumentality",NA,NA,5.5,NA,NA,4,NA,NA
"I want to regularly save at least 400 dollars every month for 2021.. I","Measurability",NA,NA,6.5,NA,NA,6,NA,NA
"I want to regularly save at least 400 dollars every month for 2021.. I","Value",NA,NA,4.83333333333333,NA,NA,4,NA,NA
"I want to remodel my condo.","Attainability",NA,NA,NA,NA,NA,4,NA,NA
"I want to remodel my condo.","Consensus",NA,NA,NA,NA,NA,1,NA,NA
"I want to remodel my condo.","External",NA,NA,NA,NA,NA,4.6,NA,NA
"I want to remodel my condo.","Instrumentality",NA,NA,NA,NA,NA,5.5,NA,NA
"I want to remodel my condo.","Measurability",NA,NA,NA,NA,NA,3,NA,NA
"I want to remodel my condo.","Value",NA,NA,NA,NA,NA,3.57142857142857,NA,NA
"I want to sell off the contents of my storage unit by May 1st.","Attainability",2.25,5,NA,NA,NA,NA,NA,NA
"I want to sell off the contents of my storage unit by May 1st.","Consensus",0.75,1.25,NA,NA,NA,NA,NA,NA
"I want to sell off the contents of my storage unit by May 1st.","External",2.6,2.6,NA,NA,NA,NA,NA,NA
"I want to sell off the contents of my storage unit by May 1st.","Instrumentality",3.5,3.5,NA,NA,NA,NA,NA,NA
"I want to sell off the contents of my storage unit by May 1st.","Measurability",4.5,3,NA,NA,NA,NA,NA,NA
"I want to sell off the contents of my storage unit by May 1st.","Value",2.57142857142857,3.14285714285714,NA,NA,NA,NA,NA,NA
"I want to spend more time with my family by committing to spend an hour with them each day.","Attainability",NA,NA,NA,NA,NA,NA,4,6
"I want to spend more time with my family by committing to spend an hour with them each day.","Consensus",NA,NA,NA,NA,NA,NA,2.5,1.75
"I want to spend more time with my family by committing to spend an hour with them each day.","External",NA,NA,NA,NA,NA,NA,5.2,3.8
"I want to spend more time with my family by committing to spend an hour with them each day.","Instrumentality",NA,NA,NA,NA,NA,NA,4,4.5
"I want to spend more time with my family by committing to spend an hour with them each day.","Measurability",NA,NA,NA,NA,NA,NA,6,4
"I want to spend more time with my family by committing to spend an hour with them each day.","Value",NA,NA,NA,NA,NA,NA,4.71428571428571,6
"I want to spend much more time reading my Bible and praying tp God.","Attainability",5,NA,7,NA,NA,NA,NA,NA
"I want to spend much more time reading my Bible and praying tp God.","Consensus",1,NA,7,NA,NA,NA,NA,NA
"I want to spend much more time reading my Bible and praying tp God.","External",1.8,NA,5.6,NA,NA,NA,NA,NA
"I want to spend much more time reading my Bible and praying tp God.","Instrumentality",4.5,NA,4.5,NA,NA,NA,NA,NA
"I want to spend much more time reading my Bible and praying tp God.","Measurability",5,NA,4,NA,NA,NA,NA,NA
"I want to spend much more time reading my Bible and praying tp God.","Value",4.28571428571429,NA,6.6,NA,NA,NA,NA,NA
"I want to standardize my sleep schedule (go to bed by 2-4 AM at the latest and get up by 12-2 PM at the latest) every day.","Attainability",NA,NA,NA,3,NA,3.5,NA,NA
"I want to standardize my sleep schedule (go to bed by 2-4 AM at the latest and get up by 12-2 PM at the latest) every day.","Consensus",NA,NA,NA,2.5,NA,3,NA,NA
"I want to standardize my sleep schedule (go to bed by 2-4 AM at the latest and get up by 12-2 PM at the latest) every day.","External",NA,NA,NA,3,NA,5,NA,NA
"I want to standardize my sleep schedule (go to bed by 2-4 AM at the latest and get up by 12-2 PM at the latest) every day.","Instrumentality",NA,NA,NA,5,NA,6,NA,NA
"I want to standardize my sleep schedule (go to bed by 2-4 AM at the latest and get up by 12-2 PM at the latest) every day.","Measurability",NA,NA,NA,5,NA,4,NA,NA
"I want to standardize my sleep schedule (go to bed by 2-4 AM at the latest and get up by 12-2 PM at the latest) every day.","Value",NA,NA,NA,3,NA,5.14285714285714,NA,NA
"I want to start my own business and make money working for myself.","Attainability",NA,NA,NA,NA,2.25,0.5,NA,NA
"I want to start my own business and make money working for myself.","Consensus",NA,NA,NA,NA,1.5,2.5,NA,NA
"I want to start my own business and make money working for myself.","External",NA,NA,NA,NA,3,4.6,NA,NA
"I want to start my own business and make money working for myself.","Instrumentality",NA,NA,NA,NA,5.5,5.5,NA,NA
"I want to start my own business and make money working for myself.","Measurability",NA,NA,NA,NA,5,3.5,NA,NA
"I want to start my own business and make money working for myself.","Value",NA,NA,NA,NA,6.28571428571429,4.71428571428571,NA,NA
"I want to start paying off my bills over the course of the next year","Attainability",NA,NA,3.75,NA,NA,NA,2.75,NA
"I want to start paying off my bills over the course of the next year","Consensus",NA,NA,4.25,NA,NA,NA,3,NA
"I want to start paying off my bills over the course of the next year","External",NA,NA,5,NA,NA,NA,5.4,NA
"I want to start paying off my bills over the course of the next year","Instrumentality",NA,NA,4.5,NA,NA,NA,3.5,NA
"I want to start paying off my bills over the course of the next year","Measurability",NA,NA,5,NA,NA,NA,4,NA
"I want to start paying off my bills over the course of the next year","Value",NA,NA,5.33333333333333,NA,NA,NA,4.71428571428571,NA
"I want to start writing again about once a week just to explore my creativity.","Attainability",NA,NA,NA,NA,6,2.75,NA,NA
"I want to start writing again about once a week just to explore my creativity.","Consensus",NA,NA,NA,NA,2.75,2,NA,NA
"I want to start writing again about once a week just to explore my creativity.","External",NA,NA,NA,NA,1.4,4.6,NA,NA
"I want to start writing again about once a week just to explore my creativity.","Instrumentality",NA,NA,NA,NA,4,6,NA,NA
"I want to start writing again about once a week just to explore my creativity.","Measurability",NA,NA,NA,NA,3.5,3,NA,NA
"I want to start writing again about once a week just to explore my creativity.","Value",NA,NA,NA,NA,2.57142857142857,5.28571428571429,NA,NA
"I want to stop smoking in the next couple of weeks.","Attainability",NA,NA,3.25,NA,NA,NA,NA,5
"I want to stop smoking in the next couple of weeks.","Consensus",NA,NA,5,NA,NA,NA,NA,4.25
"I want to stop smoking in the next couple of weeks.","External",NA,NA,6.6,NA,NA,NA,NA,6.2
"I want to stop smoking in the next couple of weeks.","Instrumentality",NA,NA,6.5,NA,NA,NA,NA,5.5
"I want to stop smoking in the next couple of weeks.","Measurability",NA,NA,7,NA,NA,NA,NA,4.5
"I want to stop smoking in the next couple of weeks.","Value",NA,NA,5.5,NA,NA,NA,NA,5.28571428571429
"I want to take a walk once a week.","Attainability",NA,NA,NA,NA,NA,NA,NA,7
"I want to take a walk once a week.","Consensus",NA,NA,NA,NA,NA,NA,NA,1.75
"I want to take a walk once a week.","External",NA,NA,NA,NA,NA,NA,NA,1.4
"I want to take a walk once a week.","Instrumentality",NA,NA,NA,NA,NA,NA,NA,4
"I want to take a walk once a week.","Measurability",NA,NA,NA,NA,NA,NA,NA,4.5
"I want to take a walk once a week.","Value",NA,NA,NA,NA,NA,NA,NA,2.85714285714286
"I want to visit my mother out of state, leaving her on or about June 1st.","Attainability",NA,NA,NA,3,NA,1.75,NA,NA
"I want to visit my mother out of state, leaving her on or about June 1st.","Consensus",NA,NA,NA,1.5,NA,3.25,NA,NA
"I want to visit my mother out of state, leaving her on or about June 1st.","External",NA,NA,NA,4.2,NA,6.4,NA,NA
"I want to visit my mother out of state, leaving her on or about June 1st.","Instrumentality",NA,NA,NA,3.5,NA,4,NA,NA
"I want to visit my mother out of state, leaving her on or about June 1st.","Measurability",NA,NA,NA,5.5,NA,4.5,NA,NA
"I want to visit my mother out of state, leaving her on or about June 1st.","Value",NA,NA,NA,3.57142857142857,NA,4.57142857142857,NA,NA
"I will be more outgoing and friendly and try to make at least one new friend in my new community.","Attainability",NA,NA,4,NA,NA,NA,4.75,NA
"I will be more outgoing and friendly and try to make at least one new friend in my new community.","Consensus",NA,NA,2.25,NA,NA,NA,2.5,NA
"I will be more outgoing and friendly and try to make at least one new friend in my new community.","External",NA,NA,5.66666666666667,NA,NA,NA,3.8,NA
"I will be more outgoing and friendly and try to make at least one new friend in my new community.","Instrumentality",NA,NA,5,NA,NA,NA,5,NA
"I will be more outgoing and friendly and try to make at least one new friend in my new community.","Measurability",NA,NA,4,NA,NA,NA,4,NA
"I will be more outgoing and friendly and try to make at least one new friend in my new community.","Value",NA,NA,5.57142857142857,NA,NA,NA,4.57142857142857,NA
"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.","Attainability",NA,NA,3.5,4.25,NA,NA,NA,NA
"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.","Consensus",NA,NA,2.25,1,NA,NA,NA,NA
"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.","External",NA,NA,5,3.4,NA,NA,NA,NA
"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.","Instrumentality",NA,NA,5.5,4,NA,NA,NA,NA
"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.","Measurability",NA,NA,6.5,5.5,NA,NA,NA,NA
"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.","Value",NA,NA,4.5,4.42857142857143,NA,NA,NA,NA
"I will eat better, exercise daily, and lose 10 pounds in three months.","Attainability",NA,NA,NA,NA,NA,2.5,NA,6.33333333333333
"I will eat better, exercise daily, and lose 10 pounds in three months.","Consensus",NA,NA,NA,NA,NA,3,NA,2.5
"I will eat better, exercise daily, and lose 10 pounds in three months.","External",NA,NA,NA,NA,NA,5.2,NA,3.4
"I will eat better, exercise daily, and lose 10 pounds in three months.","Instrumentality",NA,NA,NA,NA,NA,4.5,NA,4.5
"I will eat better, exercise daily, and lose 10 pounds in three months.","Measurability",NA,NA,NA,NA,NA,7,NA,5
"I will eat better, exercise daily, and lose 10 pounds in three months.","Value",NA,NA,NA,NA,NA,4.71428571428571,NA,4
"I would like my weight to go below 200 pounds within 3 months.","Attainability",NA,NA,NA,NA,NA,NA,3,NA
"I would like my weight to go below 200 pounds within 3 months.","Consensus",NA,NA,NA,NA,NA,NA,1.25,NA
"I would like my weight to go below 200 pounds within 3 months.","External",NA,NA,NA,NA,NA,NA,3,NA
"I would like my weight to go below 200 pounds within 3 months.","Instrumentality",NA,NA,NA,NA,NA,NA,4,NA
"I would like my weight to go below 200 pounds within 3 months.","Measurability",NA,NA,NA,NA,NA,NA,6,NA
"I would like my weight to go below 200 pounds within 3 months.","Value",NA,NA,NA,NA,NA,NA,4.14285714285714,NA
"I would like to add $1500 to my savings account.","Attainability",2.25,NA,NA,NA,5.25,NA,NA,NA
"I would like to add $1500 to my savings account.","Consensus",3.25,NA,NA,NA,4.25,NA,NA,NA
"I would like to add $1500 to my savings account.","External",2.2,NA,NA,NA,2.6,NA,NA,NA
"I would like to add $1500 to my savings account.","Instrumentality",4,NA,NA,NA,6,NA,NA,NA
"I would like to add $1500 to my savings account.","Measurability",5,NA,NA,NA,5.5,NA,NA,NA
"I would like to add $1500 to my savings account.","Value",3.85714285714286,NA,NA,NA,3.28571428571429,NA,NA,NA
"I would like to assemble the portable piano, treadmill and put up the mini-blinds.","Attainability",NA,5.5,NA,NA,NA,NA,3.25,NA
"I would like to assemble the portable piano, treadmill and put up the mini-blinds.","Consensus",NA,1,NA,NA,NA,NA,0.5,NA
"I would like to assemble the portable piano, treadmill and put up the mini-blinds.","External",NA,2.4,NA,NA,NA,NA,3.4,NA
"I would like to assemble the portable piano, treadmill and put up the mini-blinds.","Instrumentality",NA,4,NA,NA,NA,NA,3,NA
"I would like to assemble the portable piano, treadmill and put up the mini-blinds.","Measurability",NA,6,NA,NA,NA,NA,5,NA
"I would like to assemble the portable piano, treadmill and put up the mini-blinds.","Value",NA,3.57142857142857,NA,NA,NA,NA,2.57142857142857,NA
